Item,Amount,Price ($),Link
Tuning pegs,6,6.63,https://www.aliexpress.com/item/1005009623082250.html
Strap button,2,1.65,https://www.aliexpress.com/item/1005012385459057.html
Fret wires,24,3.09,https://www.aliexpress.com/item/1005006474565113.html
Potentiometers,3,7.13,https://www.aliexpress.com/item/1005010542228242.html
Tensioning rod,1,7.92,https://www.aliexpress.com/item/32911016790.html
5-way switch,1,3.56,https://www.aliexpress.com/item/1005004102817118.html
Pickup magnets,24,25.79,https://www.aliexpress.com/item/1005005671763879.html
Pickup wire,500g,37.04,https://www.aliexpress.com/item/1005010157248758.html
25x57x1000mm oak,,14.53,https://www.britishhardwoods.co.uk/planed-all-round-european-oak-timber.html
3D Printing,1kg,30.0,
Total,,137.34,
